"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction","OrthoLmjF","OrthoLdHU3"
"LmjF.01.T0660","+","LmjF.01:188145..193521","LmjF.01.0660","LmjF.01:188567..193030","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0660.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0760"
"LmjF.01.T0670","+","LmjF.01:193822..196675","LmjF.01.0670","LmjF.01:194045..194962","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0670.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0770"
"LmjF.01.T0070","-","LmjF.01:19409..22102","LmjF.01.0070","LmjF.01:19951..21747","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0090"
"LmjF.01.T0675","+","LmjF.01:197135..197842","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0675.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0680","+","LmjF.01:198093..202254","LmjF.01.0680","LmjF.01:198854..201256","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0680.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0790"
"LmjF.01.T0690","+","LmjF.01:202771..204442","LmjF.01.0690","LmjF.01:202894..203586","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0690.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0800"
"LmjF.01.T0700","+","LmjF.01:204716..207502","LmjF.01.0700","LmjF.01:206309..207073","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0700.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0820"
"LmjF.01.T0710","+","LmjF.01:207883..210270","LmjF.01.0710","LmjF.01:208464..210089","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0710.html"" target=""_blank""> Click for Additional information</a>","ubiquitin activating enzyme, putative ","N/A","LDHU3_01.0830"
"LmjF.01.T0720","+","LmjF.01:210514..215701","LmjF.01.0720","LmjF.01:210684..215417","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0720.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0840"
"LmjF.01.T0730","+","LmjF.01:216098..223550","LmjF.01.0730","LmjF.01:216579..223304","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0730.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0850"
"LmjF.01.T0080","-","LmjF.01:22318..23458","LmjF.01.0080","LmjF.01:22613..23326","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0100"
"LmjF.01.T0740","+","LmjF.01:223983..227084","LmjF.01.0740","LmjF.01:223998..226253","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0740.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0860"
"LmjF.01.T0750","+","LmjF.01:227467..232299","LmjF.01.0750","LmjF.01:227560..231813","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0750.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative ","N/A","LDHU3_01.0870"
"LmjF.01.T0760","+","LmjF.01:232378..233991","LmjF.01.0760","LmjF.01:232419..233438","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0760.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0880"
"LmjF.01.T0770","+","LmjF.01:234284..236159","LmjF.01.0770","LmjF.01:234392..235603","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0770.html"" target=""_blank""> Click for Additional information</a>","eukaryotic initiation factor 4a, putative ","N/A","LDHU3_01.0890"
"LmjF.01.T0775","+","LmjF.01:236628..236895","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0775.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0780","+","LmjF.01:237281..240135","LmjF.01.0780","LmjF.01:237389..238600","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0780.html"" target=""_blank""> Click for Additional information</a>","eukaryotic initiation factor 4a, putative ","N/A","LDHU3_01.0900"
"LmjF.01.T0090","-","LmjF.01:23935..25735","LmjF.01.0090","LmjF.01:24859..25683","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0110"
"LmjF.01.T0790","+","LmjF.01:240495..242562","LmjF.01.0790","LmjF.01:240769..242355","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0790.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0910"
"LmjF.01.T0795","+","LmjF.01:243084..244225","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0795.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0800","+","LmjF.01:244506..246191","LmjF.01.0800","LmjF.01:244534..246063","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0800.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0930"
"LmjF.01.T0810","+","LmjF.01:246583..251709","LmjF.01.0810","LmjF.01:247550..250603","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0810.html"" target=""_blank""> Click for Additional information</a>","calcium/potassium channel (CAKC), putative ","N/A","LDHU3_01.0940"
"LmjF.01.T0820","+","LmjF.01:252135..256454","LmjF.01.0820","LmjF.01:252411..255890","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0820.html"" target=""_blank""> Click for Additional information</a>","potassium channel subunit-like protein ","N/A","LDHU3_01.0950"
"LmjF.01.T0825","0","LmjF.01:256600..257311","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0825.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0830","+","LmjF.01:258822..260944","LmjF.01.0830","LmjF.01:258900..260967","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0830.html"" target=""_blank""> Click for Additional information</a>","metallo-peptidase, Clan MA(E), Family M3 ","N/A","LDHU3_01.0970"
"LmjF.01.T0100","-","LmjF.01:26130..27716","LmjF.01.0100","LmjF.01:26405..27361","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0100.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0120"
"LmjF.01.T0835","0","LmjF.01:267721..268987","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0835.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0110","-","LmjF.01:28236..29374","LmjF.01.0110","LmjF.01:28521..29108","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0110.html"" target=""_blank""> Click for Additional information</a>","monothiol glutaredoxin, putative ","N/A","LDHU3_01.0130"
"LmjF.01.T0120","-","LmjF.01:29855..32623","LmjF.01.0120","LmjF.01:30278..32251","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0120.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0140"
"LmjF.01.T0130","-","LmjF.01:32881..34942","LmjF.01.0130","LmjF.01:33630..34724","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0150"
"LmjF.01.T0135","-","LmjF.01:35593..36593","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0135.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0140","-","LmjF.01:36637..37240","LmjF.01.0140","LmjF.01:36878..37126","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0140.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0160"
"LmjF.01.T0150","-","LmjF.01:37554..38236","LmjF.01.0150","LmjF.01:37714..38064","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0170"
"LmjF.01.T0160","-","LmjF.01:38632..39255","LmjF.01.0160","LmjF.01:38940..39182","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0180"
"LmjF.01.T0165","-","LmjF.01:39735..40622","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0165.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0170","-","LmjF.01:40873..43472","LmjF.01.0170","LmjF.01:41273..42649","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0190"
"LmjF.01.T0180","-","LmjF.01:43866..47145","LmjF.01.0180","LmjF.01:44148..46466","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0180.html"" target=""_blank""> Click for Additional information</a>","CLC-type chloride channel, putative ","N/A","LDHU3_01.0200"
"LmjF.01.T0190","-","LmjF.01:47355..48268","LmjF.01.0190","LmjF.01:47548..48138","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0190.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0210"
"LmjF.01.T0200","-","LmjF.01:48692..49700","LmjF.01.0200","LmjF.01:48851..49753","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.01.T0200.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0220"
"LmjF.01.T0210","-","LmjF.01:50036..53603","LmjF.01.0210","LmjF.01:50677..53370","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0210.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0230"
"LmjF.01.T0213","-","LmjF.01:54104..55773","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0213.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0216","-","LmjF.01:55774..56557","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0216.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0020","-","LmjF.01:5579..7631","LmjF.01.0020","LmjF.01:5790..7439","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0040"
"LmjF.01.T0220","-","LmjF.01:56502..58174","LmjF.01.0220","LmjF.01:57026..58033","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0220.html"" target=""_blank""> Click for Additional information</a>","cyclophilin 12, putative (CYP12) ","N/A","LDHU3_01.0250"
"LmjF.01.T0230","-","LmjF.01:58723..59369","LmjF.01.0230","LmjF.01:58837..59253","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0230.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0260"
"LmjF.01.T0240","-","LmjF.01:59675..62908","LmjF.01.0240","LmjF.01:60056..62833","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0240.html"" target=""_blank""> Click for Additional information</a>","DNA excision/repair protein SNF2, putative ","N/A","LDHU3_01.0270"
"LmjF.01.T0250","-","LmjF.01:63199..66246","LmjF.01.0250","LmjF.01:63619..65985","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0250.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0280"
"LmjF.01.T0260","-","LmjF.01:66615..68505","LmjF.01.0260","LmjF.01:67443..68288","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0260.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0290"
"LmjF.01.T0270","-","LmjF.01:68527..70476","LmjF.01.0270","LmjF.01:69584..69907","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0270.html"" target=""_blank""> Click for Additional information</a>","thioredoxin, putative ","N/A","LDHU3_01.0300"
"LmjF.01.T0280","-","LmjF.01:71042..73060","LmjF.01.0280","LmjF.01:71546..72787","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0280.html"" target=""_blank""> Click for Additional information</a>","pseudouridylate synthase-like protein ","N/A","LDHU3_01.0310"
"LmjF.01.T0290","-","LmjF.01:73777..74725","LmjF.01.0290","LmjF.01:74034..74552","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0290.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0320"
"LmjF.01.T0300","-","LmjF.01:75043..75741","LmjF.01.0300","LmjF.01:75474..75653","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0300.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0330"
"LmjF.01.T0310","-","LmjF.01:76139..77391","LmjF.01.0310","LmjF.01:76217..77383","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0310.html"" target=""_blank""> Click for Additional information</a>","acidocalcisomal exopolyphosphatase, putative ","N/A","LDHU3_01.0340"
"LmjF.01.T0315","-","LmjF.01:77594..78222","LmjF.01.0315","LmjF.01:77741..78172","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0315.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0350"
"LmjF.01.T0320","+","LmjF.01:78957..80214","LmjF.01.0320","LmjF.01:79145..80068","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0320.html"" target=""_blank""> Click for Additional information</a>","poly(A) export protein, putative ","N/A","LDHU3_01.0360"
"LmjF.01.T0330","+","LmjF.01:80472..81414","LmjF.01.0330","LmjF.01:80535..81164","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0330.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0370"
"LmjF.01.T0335","+","LmjF.01:81585..82823","LmjF.01.0335","LmjF.01:81749..82042","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0335.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0380"
"LmjF.01.T0340","+","LmjF.01:83143..84610","LmjF.01.0340","LmjF.01:83341..84117","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0340.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0390"
"LmjF.01.T0030","-","LmjF.01:8435..11655","LmjF.01.0030","LmjF.01:9061..11067","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0030.html"" target=""_blank""> Click for Additional information</a>","MCAK-like kinesin, putative ","N/A","LDHU3_01.0050"
"LmjF.01.T0350","+","LmjF.01:85075..88679","LmjF.01.0350","LmjF.01:85901..88105","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0350.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0400"
"LmjF.01.T0360","+","LmjF.01:88924..89834","LmjF.01.0360","LmjF.01:88974..89543","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0360.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0410"
"LmjF.01.T0370","+","LmjF.01:90080..90966","LmjF.01.0370","LmjF.01:90100..90666","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0370.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0420"
"LmjF.01.T0380","+","LmjF.01:91272..94488","LmjF.01.0380","LmjF.01:91351..93807","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0380.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0430"
"LmjF.01.T0390","+","LmjF.01:94716..97703","LmjF.01.0390","LmjF.01:94762..97230","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0390.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0440"
