"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction"
"LmjF.01.T0210","-","LmjF.01:50036..53603","LmjF.01.0210","LmjF.01:50677..53370","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0210.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0213","-","LmjF.01:54104..55773","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0213.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0216","-","LmjF.01:55774..56557","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0216.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0220","-","LmjF.01:56502..58174","LmjF.01.0220","LmjF.01:57026..58033","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0220.html"" target=""_blank""> Click for Additional information</a>","cyclophilin 12, putative (CYP12) "
"LmjF.01.T0230","-","LmjF.01:58723..59369","LmjF.01.0230","LmjF.01:58837..59253","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0230.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0240","-","LmjF.01:59675..62908","LmjF.01.0240","LmjF.01:60056..62833","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0240.html"" target=""_blank""> Click for Additional information</a>","DNA excision/repair protein SNF2, putative "
"LmjF.01.T0250","-","LmjF.01:63199..66246","LmjF.01.0250","LmjF.01:63619..65985","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0250.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0260","-","LmjF.01:66615..68505","LmjF.01.0260","LmjF.01:67443..68288","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0260.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0270","-","LmjF.01:68527..70476","LmjF.01.0270","LmjF.01:69584..69907","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0270.html"" target=""_blank""> Click for Additional information</a>","thioredoxin, putative "
"LmjF.01.T0280","-","LmjF.01:71042..73060","LmjF.01.0280","LmjF.01:71546..72787","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0280.html"" target=""_blank""> Click for Additional information</a>","pseudouridylate synthase-like protein "
"LmjF.01.T0290","-","LmjF.01:73777..74725","LmjF.01.0290","LmjF.01:74034..74552","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0290.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0300","-","LmjF.01:75043..75741","LmjF.01.0300","LmjF.01:75474..75653","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0300.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0310","-","LmjF.01:76139..77391","LmjF.01.0310","LmjF.01:76217..77383","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0310.html"" target=""_blank""> Click for Additional information</a>","acidocalcisomal exopolyphosphatase, putative "
"LmjF.01.T0315","-","LmjF.01:77594..78222","LmjF.01.0315","LmjF.01:77741..78172","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0315.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0320","+","LmjF.01:78957..80214","LmjF.01.0320","LmjF.01:79145..80068","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0320.html"" target=""_blank""> Click for Additional information</a>","poly(A) export protein, putative "
"LmjF.01.T0330","+","LmjF.01:80472..81414","LmjF.01.0330","LmjF.01:80535..81164","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0330.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0335","+","LmjF.01:81585..82823","LmjF.01.0335","LmjF.01:81749..82042","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0335.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0340","+","LmjF.01:83143..84610","LmjF.01.0340","LmjF.01:83341..84117","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0340.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0350","+","LmjF.01:85075..88679","LmjF.01.0350","LmjF.01:85901..88105","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0350.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0360","+","LmjF.01:88924..89834","LmjF.01.0360","LmjF.01:88974..89543","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0360.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0370","+","LmjF.01:90080..90966","LmjF.01.0370","LmjF.01:90100..90666","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0370.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0380","+","LmjF.01:91272..94488","LmjF.01.0380","LmjF.01:91351..93807","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0380.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0390","+","LmjF.01:94716..97703","LmjF.01.0390","LmjF.01:94762..97230","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0390.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0400","+","LmjF.01:98162..100260","LmjF.01.0400","LmjF.01:98194..99873","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0400.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0410","+","LmjF.01:100501..101683","LmjF.01.0410","LmjF.01:100528..101130","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0410.html"" target=""_blank""> Click for Additional information</a>","ribosomal protein S7, putative "
"LmjF.01.T0420","+","LmjF.01:102418..103218","LmjF.01.0420","LmjF.01:102444..103046","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0420.html"" target=""_blank""> Click for Additional information</a>","ribosomal protein S7, putative "
"LmjF.01.T0430","+","LmjF.01:103832..106513","LmjF.01.0430","LmjF.01:103842..106073","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0430.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0440","+","LmjF.01:106871..109254","LmjF.01.0440","LmjF.01:107438..109201","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0440.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0443",".","LmjF.01:109344..109468","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0443.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0445",".","LmjF.01:109522..110418","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0445.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0446","+","LmjF.01:110419..111429","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0446.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0450","+","LmjF.01:111841..113151","LmjF.01.0450","LmjF.01:112139..112795","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0450.html"" target=""_blank""> Click for Additional information</a>","nicotinamidase, putative (PNC1) "
"LmjF.01.T0460","+","LmjF.01:113542..120957","LmjF.01.0460","LmjF.01:114903..119183","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0460.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0470","+","LmjF.01:121419..124324","LmjF.01.0470","LmjF.01:121759..123849","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0470.html"" target=""_blank""> Click for Additional information</a>","fatty acyl CoA syntetase 1, putative "
"LmjF.01.T0480","+","LmjF.01:124471..126853","LmjF.01.0480","LmjF.01:124711..125790","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0480.html"" target=""_blank""> Click for Additional information</a>","beta eliminating lyase,putative "
"LmjF.01.T0490","+","LmjF.01:127182..130583","LmjF.01.0490","LmjF.01:127704..129800","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0490.html"" target=""_blank""> Click for Additional information</a>","long-chain-fatty-acid-CoA ligase, putative "
"LmjF.01.T0500","+","LmjF.01:130847..135817","LmjF.01.0500","LmjF.01:130947..133070","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0500.html"" target=""_blank""> Click for Additional information</a>","fatty acyl CoA synthetase 2, putative "
"LmjF.01.T0510","+","LmjF.01:136012..137307","LmjF.01.0510","LmjF.01:136526..137110","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0510.html"" target=""_blank""> Click for Additional information</a>","fatty acyl CoA synthetase 2, putative "
"LmjF.01.T0520","+","LmjF.01:137514..141421","LmjF.01.0520","LmjF.01:137710..139857","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0520.html"" target=""_blank""> Click for Additional information</a>","long-chain-fatty-acid-CoA ligase, putative "
"LmjF.01.T0525","+","LmjF.01:141814..142714","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0525.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0530","+","LmjF.01:143191..148859","LmjF.01.0530","LmjF.01:143750..148573","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0530.html"" target=""_blank""> Click for Additional information</a>","long-chain-fatty-acid-CoA ligase, putative "
"LmjF.01.T0540","+","LmjF.01:149314..152210","LmjF.01.0540","LmjF.01:149673..151652","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0540.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0550","+","LmjF.01:152698..154420","LmjF.01.0550","LmjF.01:152788..153657","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0550.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0560","+","LmjF.01:154847..157050","LmjF.01.0560","LmjF.01:154977..156839","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0560.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0570","+","LmjF.01:157332..158738","LmjF.01.0570","LmjF.01:157437..158417","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0570.html"" target=""_blank""> Click for Additional information</a>","tricarboxylate carrier, putative "
"LmjF.01.T0580","+","LmjF.01:158974..162616","LmjF.01.0580","LmjF.01:159196..162105","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0580.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0590","+","LmjF.01:162904..165058","LmjF.01.0590","LmjF.01:163208..164482","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0590.html"" target=""_blank""> Click for Additional information</a>","KREL1 "
"LmjF.01.T0600","+","LmjF.01:165329..171476","LmjF.01.0600","LmjF.01:165646..171000","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0600.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0610","+","LmjF.01:171477..172840","LmjF.01.0610","LmjF.01:172003..172734","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0610.html"" target=""_blank""> Click for Additional information</a>","DNA-damage inducible protein DDI1-like protein "
"LmjF.01.T0620","+","LmjF.01:173150..176069","LmjF.01.0620","LmjF.01:173484..175259","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0620.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0630","+","LmjF.01:176528..180470","LmjF.01.0630","LmjF.01:177728..179605","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0630.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0635","+","LmjF.01:180789..181076","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0635.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0640","+","LmjF.01:181305..184822","LmjF.01.0640","LmjF.01:181458..184796","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0640.html"" target=""_blank""> Click for Additional information</a>","HSP70-like protein "
"LmjF.01.T0650","+","LmjF.01:185606..187622","LmjF.01.0650","LmjF.01:185785..187269","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0650.html"" target=""_blank""> Click for Additional information</a>","mitochondrial processing peptide beta subunit, putative "
"LmjF.01.T0660","+","LmjF.01:188145..193521","LmjF.01.0660","LmjF.01:188567..193030","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0660.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0670","+","LmjF.01:193822..196675","LmjF.01.0670","LmjF.01:194045..194962","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0670.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0675","+","LmjF.01:197135..197842","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0675.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0680","+","LmjF.01:198093..202254","LmjF.01.0680","LmjF.01:198854..201256","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0680.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0690","+","LmjF.01:202771..204442","LmjF.01.0690","LmjF.01:202894..203586","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0690.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0700","+","LmjF.01:204716..207502","LmjF.01.0700","LmjF.01:206309..207073","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0700.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0710","+","LmjF.01:207883..210270","LmjF.01.0710","LmjF.01:208464..210089","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0710.html"" target=""_blank""> Click for Additional information</a>","ubiquitin activating enzyme, putative "
"LmjF.01.T0720","+","LmjF.01:210514..215701","LmjF.01.0720","LmjF.01:210684..215417","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0720.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0730","+","LmjF.01:216098..223550","LmjF.01.0730","LmjF.01:216579..223304","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0730.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0740","+","LmjF.01:223983..227084","LmjF.01.0740","LmjF.01:223998..226253","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0740.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0750","+","LmjF.01:227467..232299","LmjF.01.0750","LmjF.01:227560..231813","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0750.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative "
"LmjF.01.T0760","+","LmjF.01:232378..233991","LmjF.01.0760","LmjF.01:232419..233438","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0760.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0770","+","LmjF.01:234284..236159","LmjF.01.0770","LmjF.01:234392..235603","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0770.html"" target=""_blank""> Click for Additional information</a>","eukaryotic initiation factor 4a, putative "
"LmjF.01.T0775","+","LmjF.01:236628..236895","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0775.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0780","+","LmjF.01:237281..240135","LmjF.01.0780","LmjF.01:237389..238600","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0780.html"" target=""_blank""> Click for Additional information</a>","eukaryotic initiation factor 4a, putative "
"LmjF.01.T0790","+","LmjF.01:240495..242562","LmjF.01.0790","LmjF.01:240769..242355","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0790.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0795","+","LmjF.01:243084..244225","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0795.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0800","+","LmjF.01:244506..246191","LmjF.01.0800","LmjF.01:244534..246063","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0800.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0810","+","LmjF.01:246583..251709","LmjF.01.0810","LmjF.01:247550..250603","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0810.html"" target=""_blank""> Click for Additional information</a>","calcium/potassium channel (CAKC), putative "
"LmjF.01.T0820","+","LmjF.01:252135..256454","LmjF.01.0820","LmjF.01:252411..255890","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0820.html"" target=""_blank""> Click for Additional information</a>","potassium channel subunit-like protein "
"LmjF.01.T0825",".","LmjF.01:256600..257311","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0825.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0830","+","LmjF.01:258822..260944","LmjF.01.0830","LmjF.01:258900..260967","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0830.html"" target=""_blank""> Click for Additional information</a>","metallo-peptidase, Clan MA(E), Family M3 "
"LmjF.01.T0835",".","LmjF.01:267721..268987","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0835.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.02.T0002","-","LmjF.02:555..1153","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.02.T0002.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.02.T0005","-","LmjF.02:1587..3220","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.02.T0005.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.02.T0010","-","LmjF.02:3529..7138","LmjF.02.0010","LmjF.02:4431..6875","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.02.T0010.html"" target=""_blank""> Click for Additional information</a>","phosphoglycan beta 1,3 galactosyltransferase 3 (SCG3) "
"LmjF.02.T0015","-","LmjF.02:7342..8274","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.02.T0015.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.02.T0020","-","LmjF.02:8583..9132","LmjF.02.0020","LmjF.02:8751..9053","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.02.T0020.html"" target=""_blank""> Click for Additional information</a>","histone H4 "
"LmjF.02.T0030","-","LmjF.02:9673..10897","LmjF.02.0030","LmjF.02:9863..11008","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.02.T0030.html"" target=""_blank""> Click for Additional information</a>","tagatose-6-phosphate kinase-like protein "
"LmjF.02.T0040","-","LmjF.02:11334..13875","LmjF.02.0040","LmjF.02:11678..13537","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.02.T0040.html"" target=""_blank""> Click for Additional information</a>","metallo-peptidase, Clan MG, Family M24 "
"LmjF.02.T0043","-","LmjF.02:14087..15444","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.02.T0043.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.02.T0045","-","LmjF.02:15445..16824","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.02.T0045.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.02.T0050","-","LmjF.02:17324..19733","LmjF.02.0050","LmjF.02:18849..19505","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.02.T0050.html"" target=""_blank""> Click for Additional information</a>","cytochrome b-domain protein, putative "
"LmjF.02.T0060","-","LmjF.02:20170..20962","LmjF.02.0060","LmjF.02:20184..20759","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.02.T0060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.02.T0070","-","LmjF.02:21226..22687","LmjF.02.0070","LmjF.02:21413..22606","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.02.T0070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
